slug,current_source,intended_source,collision_status,default_page_id,target_page_id,local_path,target_deleted_at
entities/people/dontbesilent,default,domi-feishu-brain,active_target_collision,256100,248867,/Users/light/.hermes/gbrain-sources/domi-feishu-brain,
personal/family/lucky-health-record,default,domi-feishu-brain,active_target_collision,254952,248861,/Users/light/.hermes/gbrain-sources/domi-feishu-brain,
readme,default,domi-feishu-brain,active_target_collision,256097,235820,/Users/light/.hermes/gbrain-sources/domi-feishu-brain,
companies/anker-innovation,default,feishu-calendar-essence,active_target_collision,250239,252068,/Users/light/.hermes/gbrain-sources/feishu-calendar-essence,
meetings/2026-06-09-anker-ai-soil,default,feishu-calendar-essence,active_target_collision,250238,252065,/Users/light/.hermes/gbrain-sources/feishu-calendar-essence,
people/steven-yang,default,feishu-calendar-essence,active_target_collision,250241,252064,/Users/light/.hermes/gbrain-sources/feishu-calendar-essence,
people/william-sang,default,feishu-calendar-essence,active_target_collision,250240,252067,/Users/light/.hermes/gbrain-sources/feishu-calendar-essence,
personal/health/domi-health-record,default,feishu-calendar-essence,active_target_collision,250246,252066,/Users/light/.hermes/gbrain-sources/feishu-calendar-essence,
00_inbox/capture/2026-05-24_ai-shopping-engine-thoughts_grok,default,obsidian,active_target_collision,250548,251740,/Users/light/.hermes/gbrain-sources/domi-obsidian-brain-lite,
00_maps/root,default,obsidian,active_target_collision,250539,252036,/Users/light/.hermes/gbrain-sources/domi-obsidian-brain-lite,
00_maps/vault-总导航,default,obsidian,active_target_collision,250537,252034,/Users/light/.hermes/gbrain-sources/domi-obsidian-brain-lite,
00_maps/汇报文档结构地图,default,obsidian,active_target_collision,250536,252033,/Users/light/.hermes/gbrain-sources/domi-obsidian-brain-lite,
01_projects/0305wechat/0601_cdn_bypass_video_snapshot,default,obsidian,active_target_collision,250535,252032,/Users/light/.hermes/gbrain-sources/domi-obsidian-brain-lite,
01_projects/0305wechat/0608_wechat_login_response_compatibility,default,obsidian,active_target_collision,250534,252031,/Users/light/.hermes/gbrain-sources/domi-obsidian-brain-lite,
01_projects/0305wechat/credentials_vault,default,obsidian,active_target_collision,250533,252030,/Users/light/.hermes/gbrain-sources/domi-obsidian-brain-lite,
01_projects/0530wechat_meijia/2026-05-30_requirement_analysis_db_insights,default,obsidian,active_target_collision,250532,252029,/Users/light/.hermes/gbrain-sources/domi-obsidian-brain-lite,
01_projects/0530wechat_meijia/2026-05-31_designer_handoff,default,obsidian,active_target_collision,250531,252028,/Users/light/.hermes/gbrain-sources/domi-obsidian-brain-lite,
01_projects/0530wechat_meijia/2026-05-31_overall_tech_design,default,obsidian,active_target_collision,250529,252026,/Users/light/.hermes/gbrain-sources/domi-obsidian-brain-lite,
01_projects/0530wechat_meijia/2026-06-08_unified_ai_nail_design_requirements,default,obsidian,active_target_collision,250530,252027,/Users/light/.hermes/gbrain-sources/domi-obsidian-brain-lite,
01_projects/0530wechat_meijia/learnings_avatar_fix,default,obsidian,active_target_collision,250528,252025,/Users/light/.hermes/gbrain-sources/domi-obsidian-brain-lite,
